,Smiles
51,CC=C(CCC(C)C1CCC2C3CC=C4CC(OC(C)=O)CCC4(C)C3CCC12C)C(C)C
52,CC(C)CCCC(C)C1CCC2C3CCC4CCCCC4(C)C3CCC12C
53,CON=C1C=C2CCC3C(CCC4(C)C(C(C)=NOC)CCC34)C2(C)CC1
55,C=C(CCC(C)C1CCC2C3CC=C4CC(O[Si](C)(C)C)CCC4(C)C3CCC12C)C(C)C
56,CC=C(CCC(C)C1CCC2C3CC=C4CC(O[Si](C)(C)C)CCC4(C)C3CCC12C)C(C)C
58,CON=C1C=C2CCC3C(CCC4(C)C3CCC4(O)C(C)=NOC)C2(C)CC1
59,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O
61,CC(C)CCCC(C)C1CCC2C3CCC4CC(OC(=O)c5ccccc5)CCC4(C)C3CCC12C
62,CC12CCCC1C1CCC3CCCCC3(C)C1CC2
63,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
64,CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
66,COCC1C(=O)C23CCC4C(C)(C)CCCC4(C)C2CCC1C3
67,CC(=O)OC1CCC2C3CCC4CC=CC(O)C4(C)C3CCC12C
69,CC(=O)OC1CCC2C3CCC4CCCC(O)C4(C)C3CCC12C
71,CC12CCC3C(CCC4CC=CC(O)C43C)C1CCC2O
72,CCC(CCC(C)C1CCC2C3CC=C4CC(OC(C)=O)CCC4(C)C3CCC12C)C(C)C
73,COCOC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
74,CC=C(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C
75,CC(C)=CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3
76,C=C(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C
77,CC(C)CCCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3
78,CCC(C=CC(C)C1CCC2C3CC=C4CC(=O)CCC4(C)C3CCC12C)C(C)C
79,CCC(C=CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C
80,CCC(CCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C
81,C=C(C)C(CC)CCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C
82,CCC(C=CC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C
83,C=C(CCC(C)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C)C(C)C
84,CC(C)=CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
85,CC12CCC3C(C=CC4=CC(=O)CCC43C)C1CCC2=O
86,CC12CCC3C(CC(O)C4=CC(=O)CCC43C)C1CCC2=O
87,CC12CCC3C(C(O)CC4=CC(=O)CCC43C)C1CCC2=O
88,CC(C=O)C1CCC2C3C(O)CC4=CC(=O)C=CC4(C)C3CCC12C
89,CC(C=O)C1CCC2C3C(O)CC4=CC(=O)CCC4(C)C3CCC12C
90,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
91,CC(C(=O)O)C1CCC2C3CCC4CC(=O)CCC4(C)C3C(O)CC12C
92,CC(C(=O)O)C1CCC2C3C(O)CC4=CC(=O)C=CC4(C)C3CC(O)C12C
93,CC(CCC(=O)O)C1CCC2C3CC(O)C4=CC(=O)CCC4(C)C3CCC12C
95,CC(=O)OC1CC2(C)C3CCC4(C)C(CC5OC6(CCC(C)CO6)C(C)C54)C3CCC2C(OC(C)=O)C1OC(C)=O
96,CCC(C=CC(C)C1CCC2C3=CCC4CC(OC(C)=O)CCC4(C)C3CCC21C)C(C)C
97,CC1CCC2(OC1)OC1CC3C4CCC5C(O[Si](C)(C)C)C(O[Si](C)(C)C)C(O[Si](C)(C)C)CC5(C)C4CCC3(C)C1C2C
98,CCC(CCC(C)C1CCC2C3CCC4CC(OC(C)=O)CCC4(C)C3CCC12C)C(C)C
99,CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C
100,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
101,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
102,CC(=O)C1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C
103,CCC(C=CC(C)C1CCC2C3CC=C4CC(OC(C)=O)CCC4(C)C3CCC12C)C(C)C
104,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
